;atım;bin;genlik;isoutlier
180;1,0;52,0;5123,669129955595;0
181;1,0;53,0;5601,5173673886065;0
182;1,0;54,0;6034,071451346649;0
183;1,0;55,0;6492,6513313960695;0
184;1,0;56,0;6700,468648583999;0
185;1,0;57,0;6368,019165538354;0
186;1,0;58,0;5995,8315236770695;0
187;1,0;59,0;4998,562501206648;0
188;1,0;60,0;5390,401419176612;0
189;1,0;61,0;5843,279850574902;0
190;1,0;62,0;6199,76916355461;0
191;1,0;63,0;6021,867280316602;0
192;1,0;64,0;6050,335789741;0
193;1,0;65,0;6944,822456771299;0
194;1,0;66,0;7557,9095124586565;0
195;1,0;67,0;7790,061828018758;0
196;1,0;68,0;8108,013593359801;0
197;1,0;69,0;7840,215219620613;0
198;1,0;70,0;6583,7528779571685;0
199;1,0;71,0;6012,51301901447;0
200;1,0;72,0;6149,200576985953;0
201;1,0;73,0;6670,8238626357515;0
202;1,0;74,0;6442,098596502681;0
203;1,0;75,0;6167,43758827779;0
204;1,0;76,0;5778,430214546014;0
205;1,0;77,0;4885,082700514832;0
206;1,0;78,0;4949,238121662202;0
207;1,0;79,0;4226,983982258658;0
208;1,0;80,0;2471,929185109747;0
209;1,0;81,0;2462,562877530705;0
210;1,0;82,0;2990,1410690429316;0
211;1,0;83,0;3731,4518706381336;0
212;1,0;84,0;2960,993013062357;0
213;1,0;85,0;1724,2537395391248;0
214;1,0;86,0;698,5416494092224;0
215;1,0;87,0;1518,88912713632;0
216;1,0;88,0;1802,0893545232727;0
217;1,0;89,0;1770,3380386627193;0
218;1,0;90,0;2266,7849254954417;0
219;1,0;91,0;3427,2237119282254;0
220;1,0;92,0;3454,4678494818677;0
221;1,0;93,0;4423,013276543422;0
222;1,0;94,0;4809,726652316292;0
223;1,0;95,0;4183,899342585909;0
224;1,0;96,0;4969,505525424397;0
225;1,0;97,0;5143,388467126229;0
226;1,0;98,0;5244,542154745805;0
227;1,0;99,0;5828,679409407417;0
228;1,0;100,0;4851,7849756035885;0
229;1,0;101,0;5047,938308993901;0
230;1,0;102,0;6537,8243836885595;0
